"Age","Blocks","Color"
"Teen (13-19)",10,"#FFA500"
"Toddler (0-4)",6,"#FF0080"
"Young Adult (20-35)",10,"#008000"
"Child (9-12)",10,"#0000FF"
"Child (9-12)",6,"#008000"
"Young Child (5-8)",9,"#0000FF"
"Child (9-12)",10,"#FF0000"
"Child (9-12)",9,"#800080"
"Young Child (5-8)",10,"#FF0080"
"Child (9-12)",7,"#800080"
"Adult (36-60)",10,"#FF0080"
"Child (9-12)",10,"#FF0080"
"Adult (36-60)",10,"#800080"
"Young Child (5-8)",9,"#FFA500"
"Child (9-12)",10,"#FF0080"
"Young Child (5-8)",10,"#FF0000"
"Young Child (5-8)",6,"#FF0080"
"Young Child (5-8)",5,"#FF0080"
"Child (9-12)",10,"#0000FF"
"Child (9-12)",10,"#FF0080"
"Young Child (5-8)",10,"#0000FF"
"Young Child (5-8)",5,"#FFA500"
"Young Child (5-8)",8,"#800080"
"Young Child (5-8)",8,"#0000FF"
"Senior (70+)",10,"#FFA500"
"Young Child (5-8)",10,"#FFA500"
"Senior (70+)",10,"#800080"
"Adult (36-60)",10,"#0000FF"
"Young Child (5-8)",10,"#FF0000"
"Child (9-12)",9,"#008000"
"Young Child (5-8)",7,"#008000"
"Young Child (5-8)",8,"#008000"
"Child (9-12)",8,"#0000FF"
"Young Child (5-8)",9,"#008000"
"Teen (13-19)",9,"#008000"
"Child (9-12)",10,"#FF0080"
"Young Child (5-8)",8,"#800080"
"Child (9-12)",8,"#FF0000"
"Teen (13-19)",10,"#0000FF"
"Adult (36-60)",10,"#008000"
"Young Adult (20-35)",10,"#008000"
"Child (9-12)",7,"#0000FF"
"Young Child (5-8)",5,"#FF0000"
"Young Adult (20-35)",10,"#FFD700"
"Young Child (5-8)",8,"#0000FF"
"Young Child (5-8)",9,"#FFD700"
"Child (9-12)",10,"#FF0000"
"Child (9-12)",9,"#008000"
"Child (9-12)",7,"#FF0000"
"Child (9-12)",7,"#FFD700"
"Young Child (5-8)",9,"#800080"
"Child (9-12)",8,"#008000"
"Adult (36-60)",10,"#008000"
"Toddler (0-4)",5,"#FF0080"
"Young Child (5-8)",6,"#008000"
"Young Child (5-8)",9,"#FFD700"
"Adult (36-60)",10,"#800080"
"Young Adult (20-35)",10,"#800080"
"Young Child (5-8)",8,"#FF0080"
"Young Child (5-8)",10,"#FF0000"
"Child (9-12)",9,"#FF0000"
"Teen (13-19)",5,"#FF0000"
"Young Child (5-8)",10,"#0000FF"
"Adult (36-60)",10,"#0000FF"
